case_id,dump_name,label,record_count,feature_count,cmd_base64_count,cmd_bypass_indicator_count,cmd_cmd_exe_count,cmd_cscript_count,cmd_download_indicator_count,cmd_empty_nonkernel_count,cmd_encoded_command_count,cmd_execution_indicator_count,cmd_ip_in_cmdline_count,cmd_length_avg,cmd_length_max,cmd_length_median,cmd_length_std,cmd_lolbin_with_args_count,cmd_powershell_count,cmd_suspicious_length_count,cmd_suspicious_ratio,cmd_suspicious_total,cmd_total_entries,cmd_url_count,cmd_wscript_count,cross_anomaly_composite_score,cross_attack_tool_ratio,cross_dll_per_process,cross_handle_per_process,cross_high_priv_process_ratio,cross_lsass_handle_per_debug_proc,cross_malfind_per_process,cross_net_per_process,cross_non_jit_rwx_ratio,cross_priv_per_process,cross_suspicious_cmd_per_process,dll_crypto_dll_proc_count,dll_network_dll_proc_count,dll_no_name_count,dll_no_path_count,dll_non_system_count,dll_path_depth_avg,dll_path_depth_max,dll_per_process_avg,dll_per_process_max,dll_per_process_min,dll_per_process_std,dll_security_dll_proc_count,dll_suspicious_path_count,dll_system_dir_count,dll_system_dir_ratio,dll_total_count,dll_unique_process_count,dll_user_dir_count,handle_alpc_count,handle_cross_process_count,handle_cross_process_proc_count,handle_directory_count,handle_event_count,handle_file_count,handle_file_ratio,handle_key_count,handle_key_ratio,handle_lsass_handle_count,handle_mutant_count,handle_per_process_avg,handle_per_process_max,handle_per_process_min,handle_per_process_std,handle_persistence_key_count,handle_process_count,handle_process_ratio,handle_section_count,handle_semaphore_count,handle_thread_count,handle_token_count,handle_total_count,handle_unique_mutant_count,handle_unique_process_count,handle_unique_type_count,mf_commit_avg,mf_commit_max,mf_commit_min,mf_commit_std,mf_commit_total,mf_critical_proc_findings,mf_executable_count,mf_execute_read_count,mf_max_findings_per_process,mf_non_jit_rwx_count,mf_private_memory_count,mf_private_ratio,mf_rwx_count,mf_rwx_private_count,mf_rwx_ratio,mf_total_findings,mf_unique_affected_pids,mf_unique_affected_procs,net_established_count,net_external_count,net_external_ratio,net_ipv6_count,net_listening_count,net_listening_ratio,net_per_process_avg,net_per_process_max,net_tcp_count,net_total_connections,net_udp_count,net_uncommon_port_count,net_unique_process_count,net_unique_remote_hosts,net_unique_remote_ports,priv_backup_enabled,priv_backup_total,priv_create_token_enabled,priv_create_token_total,priv_debug_enabled,priv_debug_enabled_proc_count,priv_debug_total,priv_default_count,priv_enabled_count,priv_enabled_ratio,priv_high_risk_enabled,priv_high_risk_enabled_proc_count,priv_high_risk_enabled_ratio,priv_high_risk_total,priv_impersonate_enabled,priv_impersonate_total,priv_load_driver_enabled,priv_load_driver_total,priv_per_process_avg,priv_per_process_max,priv_present_count,priv_security_enabled,priv_security_total,priv_suspicious_high_priv_proc_count,priv_tcb_enabled,priv_tcb_total,priv_total_entries,priv_unique_process_count,proc_browser_count,proc_cmd_count,proc_conhost_count,proc_csrss_count,proc_dllhost_count,proc_exited_still_in_memory,proc_lolbin_count,proc_lsass_count,proc_max_children_per_parent,proc_orphan_count,proc_parent_mismatch_count,proc_powershell_count,proc_script_engine_count,proc_sensitive_process_count,proc_singleton_violations,proc_svchost_count,proc_thread_avg,proc_thread_max,proc_thread_min,proc_thread_std,proc_total_count,proc_unique_name_count,proc_unique_name_ratio,proc_unique_session_count,proc_wow64_count,proc_wow64_ratio,proc_zero_thread_count
case_0001,DESKTOP-88S7USO-20260616-144313_forensics_20260616_120619,suspicious,173501,164,26,0,0,0,0,170,0,0,5,105.8738,1361,72,235.2723,0,6,31,0.0644,26,404,2,0,10447.0,0.0223,34.3465,353.3614,0.2624,0.2105,5.0099,0.0,0.996,34.7401,0.0644,136,106,2971,2978,780,3.1782,12,56.6367,439,1,63.5963,85,82,10118,0.7292,13876,245,26,5255,4545,75,578,35770,16083,0.1127,10165,0.0712,24,2252,585.0738,16628,57,1289.3353,552,4545,0.0318,4646,5615,5617,3700,142758,657,244,53,0.8053,512,0,16.4021,1630,0,2024,2,567,2016,10,0.0049,2021,7,0.9985,2024,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,401,1,401,114,114,401,3084,1957,0.1394,508,212,0.1267,4010,202,401,11,401,35.0,35,3718,20,401,106,113,401,14035,401,20,0,3,2,11,131,3,1,166,13,3,6,6,5,0,121,9.0569,356,0,23.4971,404,130,0.3218,2,26,0.0644,131
case_0002,MemoryDump_forensics_20260616_083039,safe,40112,164,0,0,0,0,0,61,0,0,0,20.41,164,51,32.7263,0,0,0,0.0,0,100,0,0,110.0,0.01,21.72,341.25,0.21,0.6429,0.03,1.12,0.6667,35.0,0.0,16,17,384,386,118,2.9905,9,48.2667,304,1,62.3762,13,1,1668,0.768,2172,45,1,1696,1201,20,0,8768,2163,0.0634,2084,0.0611,18,510,517.0455,2536,3,499.306,178,1201,0.0352,921,1738,1510,485,34125,184,66,55,24.3333,56,1,28.4312,73,0,3,1,1,2,3,1.0,2,2,0.6667,3,3,3,0,0,0.0,35,30,0.2679,5.6,20,40,112,72,0,20,0,0,3,100,1,100,28,28,100,636,478,0.1366,120,51,0.12,1000,51,100,1,100,35.0,35,1033,2,100,21,29,100,3500,100,11,0,0,2,2,6,1,1,37,5,4,0,0,5,0,25,13.89,157,0,19.9382,100,49,0.49,2,6,0.06,6
case_0003,Win11Dump_runner_20260622_080128,safe,59500,164,10,0,0,0,0,8,0,0,0,153.7961,923,55,229.5824,1,0,12,0.1068,11,103,0,0,179.0,0.0097,57.767,482.1845,0.1456,1.0,0.0777,0.9806,0.5,34.6602,0.1068,74,57,151,150,222,3.1271,11,64.6739,303,2,49.4544,43,73,5578,0.9375,5950,92,61,2447,1401,38,229,12793,2486,0.0501,3840,0.0773,20,726,528.3511,3777,36,570.8451,243,1401,0.0282,1559,2286,2273,647,49665,234,94,40,166.75,512,1,189.0909,1334,0,8,0,4,4,8,1.0,8,8,1.0,8,4,4,43,0,0.0,20,25,0.2475,5.3158,22,68,101,33,0,19,0,0,2,102,1,102,20,20,102,582,394,0.1104,98,44,0.0961,1020,44,102,1,102,35.0,35,862,2,102,15,25,102,3570,102,9,0,0,2,2,5,1,1,34,4,3,0,0,5,0,27,7406220.835,762839137,0,75164772.0673,103,49,0.4757,2,1,0.0097,4
case_0004,Windows 10 x64-043303df_runner_20260622_070714,safe,48338,164,0,0,1,0,0,9,0,0,0,56.2957,244,59,38.1716,0,0,0,0.0,0,115,0,0,140.0,0.0087,48.7739,333.7565,0.1565,0.4872,0.1739,0.6261,0.2,35.0,0.0,101,67,0,0,100,3.0622,9,53.9327,274,2,37.8498,56,33,5509,0.9822,5609,104,32,2082,1137,35,246,9283,1627,0.0424,2787,0.0726,19,503,365.5429,2122,49,334.9654,294,1137,0.0296,837,2108,1249,889,38382,245,105,40,108.2,512,1,154.8992,2164,0,20,0,16,4,20,1.0,20,20,1.0,20,4,4,0,0,0.0,27,26,0.3611,4.8,23,29,72,43,0,15,0,0,1,115,1,115,39,39,115,1027,601,0.1493,171,82,0.1487,1150,79,115,1,115,35.0,35,1104,1,115,18,46,115,4025,115,0,1,1,2,2,8,0,1,77,5,2,0,1,5,0,66,8.8087,110,0,12.1979,115,41,0.3565,2,1,0.0087,8
